d	h
4.8701	9.5
7.3848	9.8
5.9524	13
5.7296	13.5
6.398	13.5
6.7482	13.5
6.971	13.5
6.8437	14.3
10.0586	14.8
8.4352	14.8
10.4087	15
7.3848	15
6.3344	15.5
9.8676	15.8
6.971	16
9.0718	16
9.9313	17.3
9.422	18
8.1169	18
9.8039	18
9.3583	18
9.8358	18
8.8808	18
9.231	18.3
9.2946	18.5
10.8225	18.5
8.2442	18.5
11.3955	19.3
10.5997	19.3
12.3823	19.3
9.1355	19.5
13.0507	20
11.6501	20
10.4406	20
13.56	20.5
12.3823	20.5
10.7907	20.5
12.3504	21
12.3504	21
14.6104	21
12.2549	21.5
24.3189	21.5
12.8597	21.5
13.4327	21.8
10.2814	21.8
12.4459	22
11.9048	22
12.0321	22
12.4141	22
12.0958	22
18.7485	22.5
12.7642	22.5
12.2231	22.5
15.8518	22.5
20.9448	22.5
13.0825	22.5
14.0056	22.5
11.9366	22.8
14.0056	22.8
22.7273	22.8
20.1172	23
17.9208	23
15.1516	23
14.2921	23
13.2099	23
13.7192	23
11.9366	23.3
19.6397	23.3
15.9473	23.5
12.2549	23.5
18.9713	23.5
13.178	23.5
13.5918	23.8
18.7803	23.8
18.0482	23.8
19.3851	24
13.4008	24
15.0561	24
19.0349	24
16.6476	24
15.0879	24
13.9738	24.3
15.1516	24.5
20.34	24.5
17.3161	24.5
20.4037	24.5
14.133	24.5
19.0349	24.5
14.8651	24.5
19.5442	24.5
15.1834	25
18.653	25
19.9262	25
15.5972	25
13.0825	25
14.4831	25
16.6794	25
21.2631	25
15.629	25
19.2259	25.3
19.2577	25.3
15.6608	25.3
18.4938	25.3
17.9845	25.3
16.2338	25.5
17.6025	25.5
16.4566	25.5
19.7034	25.5
20.913	25.5
14.1011	25.5
20.4992	25.5
22.3772	25.5
15.5972	25.8
18.8121	25.8
20.722	25.8
13.9738	25.8
17.0932	26
21.3268	26
18.4301	26
17.507	26
20.3718	26
16.6158	26
21.2313	26.3
18.271	26.3
15.1516	26.3
21.5814	26.3
21.2313	26.5
17.1251	26.5
18.271	26.5
20.7538	26.5
23.3321	26.5
20.5628	26.5
20.1808	26.5
22.6637	26.5
20.5628	26.5
19.0986	26.5
20.2763	26.5
21.8042	26.8
20.34	26.8
20.4037	27
22.6318	27
23.173	27
21.0403	27
24.5735	27
15.9155	27
18.7166	27
20.913	27
21.2631	27
21.4541	27.3
21.4223	27.3
20.6901	27.3
16.6476	27.3
21.1676	27.3
21.3586	27.3
18.4301	27.3
21.6769	27.5
19.7034	27.5
23.5868	27.5
19.1304	27.5
20.6265	27.5
17.6662	27.5
20.2763	27.5
19.2896	27.5
22.6955	27.5
27.502	27.5
16.1701	27.5
16.5521	27.5
20.6901	27.8
21.7087	27.8
22.6955	27.8
19.6397	27.8
15.9155	27.8
24.0961	27.8
19.5761	28
23.6186	28
16.1065	28
20.5628	28
21.7087	28
22.5363	28
20.2763	28.3
19.5442	28.3
19.0668	28.3
8.7854	28.3
21.9952	28.3
21.1994	28.5
18.3983	28.5
22.6	28.5
19.0668	28.5
17.8254	28.8
20.8493	28.8
24.3825	28.8
22.5682	29
20.8811	29
22.6318	29
21.8042	29
21.4859	29.3
24.0961	29.5
24.3189	29.5
22.1544	29.5
22.5045	29.5
17.8254	29.8
26.1332	30
22.218	30
21.1358	30
23.5231	30
23.1411	30.3
23.6504	30.5
24.669	30.5
21.7724	30.5
24.1597	30.5
23.7141	30.8
22.9501	31
24.478	31
25.0192	31
24.7327	31.5
24.2234	31.5
25.7513	31.5
26.5152	31.5
25.9423	31.5
12.0958	32.3
24.3189	32.3
26.0377	32.5
24.0642	32.5
15.5654	NA
5.1566	NA
5.0293	NA
9.8358	NA
16.7113	NA
11.7456	NA
13.0507	NA
10.0904	NA
16.0428	NA
20.3082	NA
4.138	NA
11.3318	NA
16.5203	NA
13.6237	NA
21.4541	NA
8.7535	NA
16.202	NA
11.1408	NA
18.4938	NA
14.7377	NA
19.7989	NA
18.8121	NA
18.462	NA
14.6423	NA
14.9606	NA
17.1251	NA
19.1304	NA
7.2256	NA
17.1251	NA
10.4087	NA
19.8944	NA
11.873	NA
5.8887	NA
5.9524	NA
17.9845	NA
20.2127	NA
18.2073	NA
3.0239	NA
18.9076	NA
15.5335	NA
18.2392	NA
14.7059	NA
16.5521	NA
16.9659	NA
13.369	NA
16.4566	NA
15.5972	NA
10.0586	NA
18.7166	NA
12.9552	NA
6.2707	NA
18.7166	NA
18.271	NA
11.5865	NA
18.08	NA
18.7166	NA
19.0031	NA
20.6265	NA
9.8039	NA
16.5203	NA
17.4752	NA
11.1408	NA
16.4566	NA
12.8279	NA
14.133	NA
8.7217	NA
15.82	NA
9.7403	NA
11.3	NA
8.9445	NA
13.3054	NA
10.6952	NA
12.0958	NA
14.1011	NA
19.1623	NA
17.8254	NA
19.7352	NA
12.6687	NA
13.6873	NA
14.8969	NA
14.3239	NA
7.8623	NA
14.5468	NA
19.8307	NA
17.9208	NA
15.7245	NA
19.4806	NA
5.6341	NA
13.4963	NA
18.1437	NA
16.1065	NA
15.9792	NA
7.5121	NA
14.4831	NA
9.3265	NA
18.9076	NA
16.7749	NA
15.1516	NA
11.3637	NA
16.5839	NA
4.9338	NA
20.531	NA
14.9606	NA
8.467	NA
17.698	NA
16.0428	NA
16.5203	NA
10.8862	NA
16.8068	NA
20.2763	NA
8.8172	NA
13.751	NA
9.3901	NA
12.3186	NA
16.8704	NA
14.2285	NA
15.4699	NA
16.5521	NA
5.8887	NA
13.2417	NA
19.6079	NA
15.2152	NA
12.3504	NA
18.3983	NA
18.7166	NA
14.5786	NA
6.4935	NA
17.0296	NA
19.5761	NA
9.7085	NA
19.6716	NA
5.9842	NA
12.2549	NA
10.5042	NA
15.0879	NA
13.0507	NA
9.1673	NA
18.2073	NA
14.6104	NA
5.6341	NA
11.7775	NA
13.8465	NA
14.9287	NA
13.942	NA
15.5017	NA
7.5121	NA
21.1039	NA
7.5121	NA
19.5442	NA
22.409	NA
13.6873	NA
15.0242	NA
8.6899	NA
12.0958	NA
18.7166	NA
14.3558	NA
7.8941	NA
19.5124	NA
19.6079	NA
14.3876	NA
15.3744	NA
12.2868	NA
20.2445	NA
17.8254	NA
11.3	NA
13.5918	NA
15.3425	NA
23.3958	NA
10.9817	NA
17.4752	NA
22.9183	NA
8.658	NA
15.5972	NA
11.1408	NA
7.6713	NA
17.2524	NA
12.5732	NA
4.5518	NA
11.9048	NA
12.5414	NA
22.027	NA
14.9287	NA
19.5124	NA
6.6845	NA
18.1437	NA
6.6527	NA
24.2234	NA
18.2073	NA
13.3054	NA
13.0189	NA
19.0668	NA
9.9631	NA
10.5679	NA
12.3186	NA
8.8808	NA
12.8279	NA
8.4034	NA
14.7377	NA
15.8518	NA
5.5068	NA
14.8651	NA
17.2524	NA
18.3983	NA
17.9208	NA
7.5758	NA
13.1144	NA
16.3293	NA
17.2842	NA
17.3797	NA
7.8623	NA
15.2152	NA
18.0163	NA
16.3611	NA
14.7059	NA
9.0718	NA
17.0932	NA
18.9713	NA
13.4008	NA
11.1727	NA
21.1676	NA
20.2445	NA
8.9127	NA
9.3265	NA
10.6316	NA
16.8386	NA
12.4141	NA
15.5654	NA
23.173	NA
13.3054	NA
14.5468	NA
11.5546	NA
10.3451	NA
15.5017	NA
15.7245	NA
17.0932	NA
14.7696	NA
15.8518	NA
19.958	NA
16.6158	NA
9.231	NA
14.1011	NA
3.1513	NA
19.2896	NA
7.2575	NA
12.9552	NA
20.2127	NA
19.958	NA
14.9606	NA
18.3028	NA
14.8014	NA
9.8994	NA
18.6211	NA
14.6104	NA
21.8361	NA
15.9155	NA
15.3425	NA
14.6423	NA
11.5865	NA
9.0082	NA
10.2496	NA
19.3214	NA
9.1355	NA
11.9685	NA
10.4406	NA
15.6927	NA
12.1594	NA
13.942	NA
14.8969	NA
18.0482	NA
14.2603	NA
7.1301	NA
13.6555	NA
17.2842	NA
17.507	NA
12.6051	NA
14.8651	NA
18.5575	NA
23.0456	NA
14.3239	NA
11.9685	NA
15.7882	NA
10.918	NA
13.751	NA
16.5203	NA
17.8254	NA
15.1197	NA
14.6423	NA
21.1994	NA
13.1462	NA
15.247	NA
11.5865	NA
9.7721	NA
12.1594	NA
13.6873	NA
14.0693	NA
17.9527	NA
9.0718	NA
16.8068	NA
15.5017	NA
12.8597	NA
12.8279	NA
20.3082	NA
12.2549	NA
7.6394	NA
10.5679	NA
17.8254	NA
12.3504	NA
18.08	NA
12.7961	NA
16.5839	NA
17.1887	NA
18.7485	NA
14.2285	NA
16.7113	NA
15.5335	NA
16.3611	NA
7.5439	NA
13.369	NA
15.2152	NA
15.6608	NA
22.5045	NA
14.5468	NA
14.1648	NA
3.4696	NA
4.8701	NA
18.4938	NA
3.947	NA
16.5203	NA
11.5865	NA
3.6606	NA
8.4352	NA
8.5944	NA
9.7403	NA
8.5307	NA
16.1383	NA
5.9524	NA
16.9341	NA
13.0507	NA
17.3479	NA
7.5758	NA
11.5228	NA
13.2099	NA
12.7961	NA
10.3769	NA
17.4434	NA
11.2045	NA
17.7935	NA
13.1462	NA
12.0639	NA
12.1913	NA
6.78	NA
4.2017	NA
15.5017	NA
10.7589	NA
16.011	NA
6.4935	NA
16.9977	NA
8.8172	NA
16.6476	NA
10.1541	NA
12.6369	NA
14.8332	NA
17.7935	NA
18.271	NA
11.873	NA
14.7377	NA
12.0003	NA
8.6262	NA
19.0349	NA
14.4513	NA
17.507	NA
13.4327	NA
17.2842	NA
19.1623	NA
16.4885	NA
18.2392	NA
15.4062	NA
16.6794	NA
12.0003	NA
12.1913	NA
18.7166	NA
14.1011	NA
11.3637	NA
13.1144	NA
6.8118	NA
18.1755	NA
18.2392	NA
17.8254	NA
16.1383	NA
16.5203	NA
12.6051	NA
16.5839	NA
2.7056	NA
14.2603	NA
11.9048	NA
14.8651	NA
10.0586	NA
16.0428	NA
13.56	NA
8.0214	NA
5.2521	NA
18.6848	NA
17.4434	NA
9.1355	NA
19.0668	NA
15.5017	NA
11.5865	NA
13.2417	NA
5.5068	NA
13.4645	NA
15.7882	NA
9.7721	NA
6.7163	NA
5.4749	NA
9.6766	NA
19.7989	NA
18.462	NA
19.0986	NA
17.7617	NA
13.56	NA
20.4992	NA
20.3718	NA
20.0535	NA
8.5625	NA
18.3346	NA
14.3558	NA
12.7961	NA
12.8916	NA
7.5439	NA
6.3025	NA
11.2363	NA
8.1487	NA
21.3268	NA
11.2682	NA
9.1673	NA
14.4194	NA
17.9845	NA
11.1408	NA
13.3054	NA
17.1887	NA
13.3054	NA
11.0135	NA
10.727	NA
14.7696	NA
19.1623	NA
19.7352	NA
18.5575	NA
13.6873	NA
18.9394	NA
8.4034	NA
18.1437	NA
13.1462	NA
14.3239	NA
16.1065	NA
17.2524	NA
13.7192	NA
11.5865	NA
18.2073	NA
15.5654	NA
8.5307	NA
14.8969	NA
10.7907	NA
15.5972	NA
16.3611	NA
12.2868	NA
21.2313	NA
14.4513	NA
13.4645	NA
21.1676	NA
17.4116	NA
17.4434	NA
12.3504	NA
16.9659	NA
11.7775	NA
18.7803	NA
15.5335	NA
10.6634	NA
19.5124	NA
17.507	NA
15.7882	NA
10.8862	NA
7.4485	NA
9.9631	NA
7.353	NA
14.7377	NA
10.8862	NA
19.0031	NA
11.6183	NA
8.6899	NA
